TimeStamp,Partida V115,Estado Bombeo Semi V115,SP Semi V115,Estado Bombeo Receta V115,SP Receta V115,Consumo V115,Partida D122,Estado Bombeo Semi D122,SP Semi D122,Estado Bombeo Receta D122,SP Receta D122,Consumo D122,Partida V131,Estado Bombeo Semi V131,SP Semi V131,Estado Bombeo Receta V131,SP Receta V131,Consumo V131,Partida V141,Estado Bombeo Semi V141,SP Semi V141,Estado Bombeo Receta V141,SP Receta V141,Consumo V141,Partida V221,Estado Bombeo Semi V221,SP Semi V221,Estado Bombeo Receta V221,SP Receta V221,Consumo V221,Partida V241,Estado Bombeo Semi V241,SP Semi V241,Estado Bombeo Receta V241,SP Receta V241,Consumo V241
2024-10-20 22:00:00,12345678,-1,12,-1,,631.58881,12345678,-1,0,-1,,292.29044,12345678,-1,30,-1,0,824.21143,,-1,,-1,,999.51563,,-1,,-1,,898.09003,,-1,,-1,,612.3678
2024-10-20 23:00:00,12345678,-1,12,-1,,631.58881,12345678,-1,0,-1,,291.18854,12345678,-1,30,-1,0,824.21143,,-1,,-1,,999.51563,,-1,,-1,,898.09003,,-1,,-1,,612.3678
2024-10-21 00:00:00,12345678,-1,12,-1,,631.58881,12345678,-1,0,-1,,290.08664,12345678,-1,30,-1,0,824.21143,,-1,,-1,,999.51563,,-1,,-1,,898.09003,,-1,,-1,,612.3678
2024-10-21 01:00:00,12345678,-1,12,-1,,631.58881,12345678,-1,0,-1,,288.98474,12345678,-1,30,-1,0,824.21143,,-1,,-1,,999.51563,,-1,,-1,,898.09003,,-1,,-1,,612.3678
2024-10-21 02:00:00,12345678,-1,12,-1,,631.58881,12345678,-1,0,-1,,287.88281,12345678,-1,30,-1,0,824.21143,,-1,,-1,,999.51563,,-1,,-1,,898.09003,,-1,,-1,,612.3678
2024-10-21 03:00:00,12345678,-1,12,-1,,631.58881,12345678,-1,0,-1,,286.78091,12345678,-1,30,-1,0,824.21143,,-1,,-1,,999.51563,,-1,,-1,,898.09003,,-1,,-1,,612.3678
2024-10-21 04:00:00,12345678,-1,12,-1,,631.58881,12345678,-1,0,-1,,285.67902,12345678,-1,30,-1,0,824.21143,,-1,,-1,,999.51563,,-1,,-1,,898.09003,,-1,,-1,,612.3678
2024-10-21 05:00:00,12345678,-1,12,-1,,631.58881,12345678,-1,0,-1,,284.57712,12345678,-1,30,-1,0,824.21143,,-1,,-1,,999.51563,,-1,,-1,,898.09003,,-1,,-1,,612.3678
2024-10-21 06:00:00,12345678,-1,12,-1,,631.58881,12345678,-1,0,-1,,283.47522,12345678,-1,30,-1,0,824.21143,,-1,,-1,,999.51563,,-1,,-1,,898.09003,,-1,,-1,,612.3678
2024-10-21 07:00:00,12345678,-1,12,-1,,631.58881,12345678,-1,0,-1,,282.37329,12345678,-1,30,-1,0,824.21143,,-1,,-1,,999.51563,,-1,,-1,,898.09003,,-1,,-1,,612.3678
2024-10-21 08:00:00,12345678,-1,12,-1,,631.58881,12345678,-1,0,-1,,281.27139,12345678,-1,30,-1,0,824.21143,,-1,,-1,,999.51563,,-1,,-1,,898.09003,,-1,,-1,,612.3678
2024-10-21 09:00:00,12345678,-1,12,-1,,631.58881,12345678,-1,0,-1,,280.16949,12345678,-1,30,-1,0,824.21143,,-1,,-1,,999.51563,,-1,,-1,,898.09003,,-1,,-1,,612.3678
2024-10-21 10:00:00,12345678,-1,12,-1,,631.58881,12345678,-1,21.664152,-1,,279.0676,12345678,-1,30,-1,0,824.21143,,-1,,-1,,999.51563,,-1,,-1,,898.09003,,-1,,-1,,612.3678
2024-10-21 11:00:00,12345678,-1,12,-1,14.855801,631.58881,12345678,-1,50,-1,7.3147297E-2,277.9657,12345678,-1,30,-1,0,824.21143,,-1,,-1,,999.51563,,-1,,-1,,898.09003,,-1,,-1,,612.3678
2024-10-21 12:00:00,12345678,-1,12,-1,34.184818,631.58881,12345678,-1,50,-1,0.61436319,276.8638,12345678,-1,30,-1,0,824.21143,,-1,65,-1,3.3968306,999.51563,,-1,,-1,,898.09003,,-1,,-1,,612.3678
2024-10-21 13:00:00,12345678,-1,12,-1,53.513832,631.58881,12345678,-1,50,-1,1.1555791,275.76187,12345678,-1,30,-1,0,824.21143,,-1,65,-1,24.558071,999.51563,,-1,,-1,,898.09003,,-1,,-1,,612.3678
2024-10-21 14:00:00,12345678,-1,12,-1,72.84285,631.58881,12345678,-1,50,-1,1.696795,274.65997,12345678,-1,30,-1,0,824.21143,,-1,65,-1,45.719311,999.51563,,-1,0,-1,6.3735209,898.09003,,-1,,-1,,612.3678
2024-10-21 15:00:00,12345678,-1,12,-1,92.171867,631.58881,12345678,-1,50,-1,2.2380109,273.55807,12345678,-1,30,-1,0,824.21143,,-1,65,-1,66.880554,999.51563,,-1,0,-1,25.871552,898.09003,,-1,100,-1,44.24601,612.3678
2024-10-21 16:00:00,12345678,-1,12,-1,111.50089,631.58881,12345678,-1,50,-1,2.7792268,272.45618,12345678,-1,30,-1,0,824.21143,,-1,65,-1,88.041794,999.51563,,-1,0,-1,45.369583,898.09003,,-1,100,-1,103.07716,612.3678
2024-10-21 17:00:00,12345678,-1,12,-1,130.8299,631.58881,12345678,-1,50,-1,3.3204427,271.35428,12345678,-1,30,-1,0,824.21143,,-1,65,-1,109.20303,999.51563,,-1,0,-1,64.867615,898.09003,,-1,100,-1,161.90829,612.3678
2024-10-21 18:00:00,12345678,-1,12,-1,150.15892,631.58881,12345678,-1,50,-1,3.8616586,270.25235,12345678,-1,30,-1,0,824.21143,,-1,65,-1,130.36427,999.51563,,-1,0,-1,84.365646,898.09003,,-1,100,-1,220.73944,612.3678
2024-10-21 19:00:00,12345678,-1,12,-1,169.48793,631.58881,12345678,-1,50,-1,4.4028745,269.15045,12345678,-1,30,-1,0,824.21143,,-1,65,-1,151.52551,999.51563,,-1,0,-1,103.86368,898.09003,,-1,100,-1,279.57059,612.3678
2024-10-21 20:00:00,12345678,-1,12,-1,188.81696,631.58881,12345678,-1,50,-1,4.9440904,268.04855,12345678,-1,30,-1,0,824.21143,,-1,65,-1,172.68675,999.51563,,-1,0,-1,123.3617,898.09003,,-1,100,-1,338.40173,612.3678
2024-10-21 21:00:00,12345678,-1,12,-1,208.14597,631.58881,12345678,-1,50,-1,5.4853063,266.94666,12345678,-1,30,-1,0,824.21143,,-1,65,-1,193.84799,999.51563,,-1,0,-1,142.85974,898.09003,,-1,100,-1,397.23288,612.3678
2024-10-21 22:00:00,12345678,-1,12,-1,227.47498,631.58881,12345678,-1,50,-1,6.0265222,265.84476,12345678,-1,30,-1,0,824.21143,,-1,65,-1,215.00923,999.51563,,-1,0,-1,162.35777,898.09003,,-1,100,-1,456.06403,612.3678
2024-10-21 23:00:00,12345678,-1,12,-1,246.804,631.58881,12345678,-1,50,-1,6.5677381,264.74283,12345678,-1,30,-1,0,824.21143,,-1,65,-1,236.17049,999.51563,,-1,0,-1,181.8558,898.09003,,-1,100,-1,514.89514,612.3678
2024-10-22 00:00:00,12345678,-1,12,-1,266.13303,631.58881,12345678,-1,50,-1,7.108954,263.64093,12345678,-1,30,-1,0,824.21143,,-1,65,-1,257.33173,999.51563,,-1,0,-1,201.35384,898.09003,,-1,100,-1,573.72632,612.3678
2024-10-22 01:00:00,12345678,-1,12,-1,285.46204,631.58881,12345678,-1,50,-1,7.6501698,262.53903,12345678,-1,30,-1,0,824.21143,,-1,65,-1,278.49295,999.51563,,-1,0,-1,220.85185,898.09003,,-1,100,-1,632.55743,612.3678
2024-10-22 02:00:00,12345678,-1,12,-1,304.79105,631.58881,12345678,-1,50,-1,8.1913862,261.43713,12345678,-1,30,-1,0,824.21143,,-1,65,-1,299.65421,999.51563,,-1,0,-1,240.34988,898.09003,,-1,100,-1,691.38861,612.3678
2024-10-22 03:00:00,12345678,-1,12,-1,324.12006,631.58881,12345678,-1,50,-1,8.7326021,260.33524,12345678,-1,30,-1,0,824.21143,,-1,65,-1,320.81543,999.51563,,-1,0,-1,259.84793,898.09003,,-1,100,-1,750.21973,612.3678
2024-10-22 04:00:00,12345678,-1,12,-1,343.44907,631.58881,12345678,-1,50,-1,9.273818,259.23334,12345678,-1,30,-1,0,824.21143,,-1,65,-1,341.97668,999.51563,,-1,0,-1,279.34595,898.09003,,-1,100,-1,809.0509,612.3678
2024-10-22 05:00:00,12345678,-1,12,-1,362.77811,631.58881,12345678,-1,50,-1,9.8150339,258.13141,12345678,-1,30,-1,0,824.21143,,-1,65,-1,363.13794,999.51563,,-1,0,-1,298.84399,898.09003,,-1,100,-1,867.88202,612.3678
2024-10-22 06:00:00,12345678,-1,12,-1,382.10712,631.58881,12345678,-1,50,-1,10.35625,257.02951,12345678,-1,30,-1,0,824.21143,,-1,65,-1,384.29916,999.51563,,-1,0,-1,318.34201,898.09003,,-1,100,-1,926.7132,612.3678
